gene,beta_sex_M_vs_F_mixed,pval_sex_M_vs_F_mixed,qval_sex_M_vs_F_mixed
RSRP1,-0.04038492926540196,0.4823999725976489,0.9166638388126178
TMEM50A,-0.09190200855946547,0.13925617212786612,0.7124691910798673
RHCE,0.5468561385503522,0.005283316944180994,0.26893718172686887
MACO1,-0.05709033026738091,0.2528867959953396,0.8088968775132297
LDLRAP1,0.048444623620776645,0.434511909529286,0.8985779086040038
SELENON,0.04083400663473288,0.5241615159851296,0.9252558090239359
MTFR1L,0.07441473040459398,0.29803019083988136,0.8409079410991848
AUNIP,0.03394341931948699,0.8128811315457751,0.9772333976642704
PAQR7,0.020140766563571746,0.7549901033561301,0.9677013413100319
STMN1,-0.03955310484054362,0.299590539416014,0.8409079410991848
PAFAH2,0.011876293416463303,0.9035124354450454,0.986583038130306
PDIK1L,0.16846775689955898,0.05199801404673454,0.5742539387708466
FAM110D,0.32387042576426456,0.04620449776999696,0.5527066283399
ZNF593,0.15343035630872728,0.33074340286944326,0.8486628270012578
CEP85,0.03721865068831943,0.5571742867385356,0.9323615817385895
SH3BGRL3,-0.09725277447468694,0.13370627501074844,0.7042380779286518
UBXN11,-0.00026728084408768517,0.9971985815905773,0.9992568097179719
CD52,-0.08671484180662302,0.5330558714006206,0.9258026718299792
DHDDS,0.09065146458683737,0.1017778616097096,0.6701641783106997
HMGN2,-0.04045804805902152,0.16863315708819526,0.7394720468360654
RPS6KA1,0.04366780831002006,0.5499779065048596,0.9304818783731515
ARID1A,-0.04738076697796801,0.3658033282206017,0.869166517399591
PIGV,0.13832533237995884,0.0967155651421692,0.6577751822490284
ZDHHC18,0.016891230969570712,0.8347537779224521,0.9792662761227731
GPN2,-0.048562184709731844,0.22768520428895844,0.7889025356526613
GPATCH3,0.11614344003734421,0.03897866859648238,0.5336169830774127
NUDC,0.08661629889026431,0.25288553648848344,0.8088968775132297
SLC9A1,-0.13465954551761797,0.22193751460697608,0.784117099888605
WDTC1,0.0016334533979267857,0.9794526873462341,0.9970047928801268
TMEM222,0.16320306990757188,0.09135658249787867,0.6490093233276566
SYTL1,-0.09916927237445901,0.20234735687981686,0.7717146437138387
WASF2,-0.034859848081342217,0.6054503409911222,0.9436866153423603
AHDC1,-0.22860168294637792,0.07405434120666661,0.6264710957849724
FGR,-0.09651317967010124,0.5269301104216405,0.9255750090698822
IFI6,0.1554868743063305,0.6372997984183368,0.9505665191223948
FAM76A,0.007134009799568847,0.9389782280737938,0.9912647086282221
STX12,-0.05986912506760679,0.4120059001809717,0.8886730914105542
PPP1R8,0.029706272639820223,0.553052421729947,0.9310750064246941
THEMIS2,0.02055507892330478,0.8366095711471806,0.9802601060772255
RPA2,0.12505264057372129,0.11441588872257748,0.6814900517948735
SMPDL3B,0.010496246942083528,0.9438692300092165,0.9926650798161725
XKR8,-0.0002602916766017573,0.9975895213523499,0.9992568097179719
EYA3,-0.043439493175569915,0.471567456915569,0.9113894994564188
PTAFR,0.17197363269625457,0.33999252769449995,0.8534857233726507
DNAJC8,0.05954473819253441,0.2057572189776984,0.775138100981288
ATP5IF1,0.27584039196153187,0.07258806049604409,0.6255673347219814
AL353622.1,-0.1494904056741831,0.06052415941241959,0.6007751097805056
SESN2,-0.1513748133512961,0.03987501364403163,0.5372689911818754
MED18,-0.014286315839793043,0.859392509625597,0.9835308807564207
PHACTR4,0.0007695677050856477,0.9926401339873497,0.9985642106102289
RCC1,-0.11931712390134204,0.0652064017408344,0.6123968727149623
SNHG3,0.10145128233687636,0.03817853554822018,0.5279967794991578
TRNAU1AP,0.04685987307755628,0.33342222895165174,0.8489800066741303
SNHG12,0.02229551184753233,0.7375463047458967,0.9653806976951429
TAF12,0.03273797146051564,0.4629490156851396,0.9062574732729254
AL360012.1,-0.14647828351792339,0.46109419417962805,0.9054994683508508
GMEB1,-0.04533915589719061,0.5870321642358116,0.9382505931979582
YTHDF2,0.022608642140628396,0.5966085269885543,0.9410217917642135
EPB41,-0.046731908665026474,0.5215785800706869,0.9243392749276915
SRSF4,-0.03913506236092352,0.5186778298254395,0.9235438016601227
MECR,0.12164830336619654,0.23626260053853954,0.7926325774721346
LAPTM5,-0.06798910134849749,0.18729616878681976,0.7584961385126745
PUM1,0.028916061763053787,0.5241834572014712,0.9252558090239359
SNRNP40,0.04100533534157091,0.5633303907878702,0.9338614777362001
ZCCHC17,0.09050688026011497,0.10287254441272556,0.6720500004138208
SERINC2,-0.19122046260866557,0.14398613006347336,0.7165012187907703
LINC01226,-0.1212754979972886,0.34760043885369063,0.8588010248338431
PEF1,0.078365372677066,0.2907125378445683,0.8392144846870422
PTP4A2,-0.02576353987057368,0.5567479450279247,0.9323615817385895
KHDRBS1,-0.015171588107683941,0.6533570858835173,0.952846047738329
TMEM39B,-0.10223323658399273,0.11154492392194364,0.6796851383330231
KPNA6,-0.01461845167359738,0.8613837988804133,0.9835308807564207
TXLNA,-0.02666282829522558,0.6692736459418419,0.9541081826765851
CCDC28B,0.05421818658360595,0.5823312803675831,0.9362087841447958
IQCC,0.043925668828233594,0.5869414688297481,0.9382505931979582
TMEM234,0.0702103675145793,0.24814005299182762,0.8059990984688872
EIF3I,0.029948876566011855,0.6086621720991411,0.9436866153423603
LCK,-0.07658756675082186,0.5163367663997893,0.9230912867470367
HDAC1,-0.10848811553796558,0.14482322630656486,0.7168045625158511
MARCKSL1,-0.09621742241470028,0.21112433500197758,0.779829748226085
FAM229A,-0.10685038646222715,0.09205209279484546,0.6494186823772813
BSDC1,-0.06264219861279623,0.29125118544659456,0.839577012801459
ZBTB8A,-0.036183828329371746,0.6890442736610237,0.9576289994648376
ZBTB8OS,0.02095291472198688,0.7494907755052217,0.9670023799777353
RBBP4,0.01751479179496203,0.700467327947617,0.9607135007485433
SYNC,0.05674628029211183,0.6153129625918131,0.9456955471761506
KIAA1522,-0.08518785135517165,0.5439529277300397,0.9287242955198566
YARS,-0.01690255642509615,0.7749784981446457,0.9700033765054553
S100PBP,-0.042625129993644796,0.6006608271278473,0.9424303635155961
RNF19B,-0.06264479637471734,0.44200182857853876,0.8999585665692766
AK2,0.05010432514561958,0.21212660431736963,0.7799139071853558
AZIN2,-0.1468179219491537,0.23350682592554395,0.791989588506463
ZNF362,0.02984983236224724,0.6276457707342669,0.9492505742964258
PHC2,0.009395977778392262,0.8733171670075033,0.9846202823276525
SMIM12,0.08349279657773225,0.1561659636243224,0.7282792560140616
TMEM35B,0.056056156198986115,0.3682650863679332,0.8697344209181173
