gene,beta_sex_M_vs_F,pval_sex_M_vs_F,qval_sex_M_vs_F
DNTTIP1,0.07254217991114123,0.21122215145514633,0.6546513178358394
UBE2C,-0.034785639162574426,0.6813392492401599,0.9176887040639518
ACOT8,0.0548837090047892,0.42196962766274015,0.8108596152248114
ZSWIM3,0.04925092107010572,0.5172183273983002,0.8567158165375467
ZSWIM1,-0.05431175120001013,0.4724405243983457,0.8343803265554944
NEURL2,0.01775806124101459,0.7575232631805237,0.9390260993695331
CTSA,0.06825599540405958,0.2543959800282263,0.6916978618844706
PLTP,0.22236499856454622,0.007103294297268969,0.23329827126216396
AL162458.1,-0.10025544358992028,0.2106706058996377,0.6542821583283629
PCIF1,0.01968252583248399,0.6625175106932006,0.9109622857329687
ZNF335,-0.06598029514016508,0.26952220794838394,0.6986542379730083
SLC12A5,-0.49696133937056397,0.00202488603059209,0.15701837636922014
NCOA5,-0.0002810123906990536,0.9970419394058941,0.9989674899670512
CD40,-0.010764975696264431,0.9130138745425311,0.9782520439838365
